,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
1190,1527,"Welcome to Mooseport. The sleepy Maine community has all the accoutrements of idyllic small town life: a little park and gazebo, quaint architecture, a moose that wanders through the streets, and lots of friendly townsfolk, including the proprietor of the local hardware store, Handy Harrison and his veterinarian girlfriend Sally. Mooseport also just happens to be the vacation home for the leader of the free world: Monroe ""Eagle"" Cole, the President of the United States. Following two successful terms, the wildly popular President is ready to retire to his ""Mooseport White House,"" publish his memoirs and embark on a series of lucrative speaking engagements. But Eagle's retirement is delayed when the folks of Mooseport convince the former President to run for Mayor. At the same time, he sparks to Sally--unaware that she is Handy's girlfriend. So, when a jealous Handy announces HIS candidacy for mayor, Eagle is dumbfounded. Handy, in turn, sees himself in a race for Mayor and boyfriend. As the campaign kicks into high gear, things get even wilder in this once quiet town.",PG-13,Comedy,Donald Petrie,Doug Richardson|Tom Schulman,"Feb 20, 2004","May 25, 2004",$,14244145,110 minutes,20th Century Fox
1191,1528,"Since they met at a party, ambitious high-flyer Nat and struggling novelist Josh have been deliriously happy despite their differences. Josh is a thinker, Nat's a doer..but the spark between them is undeniable. Their wedding is a dream come true, but family, friends and even the minister who marries them aren't convinced that they can last. Josh's ex-girlfriend, Chloe, and Nat's handsome American client Guy, could offer attractive alternatives. With their first anniversary approaching, neither wants to be the first to give up, but will they make it? (c) Magnolia",R,Art House and International|Comedy|Romance,Dan Mazer,Dan Mazer,"Aug 9, 2013","Oct 22, 2013",$,5851913,97 minutes,Magnolia Pictures
1197,1535,"Vin Diesel opted to not appear in the sequel to the film the shot him to stardom in the first place, The Fast and the Furious. With the character of Dominic Toretto out of the picture, 2 Fast 2 Furious concentrates exclusively on the latest exploits of undercover agent Brian O'Connor, played by Paul Walker. In addition, with director Rob Cohen passing, producers have added a dash of credibility to the sequel by hiring John Singleton to helm. What does completely remain from the first film is the presence of fast-living underground street-racing gangs. Moving from Los Angeles to Miami, O'Connor is looking to redeem himself after the events of the first movie, so he again goes undercover to infiltrate another group of thuggish car enthusiasts. This time around he's enlisted the help of ex-con Roman Pierce (Tyrese) and fellow agent Monica Celemente (Eva Mendes) to bring down Carter Verone (Cole Hauser), an importer/exporter who heads up a massive drug trafficking operation. Heading up the supporting cast are hip-hop stars Ludacris and Fabolous.",PG-13,Action and Adventure|Drama|Mystery and Suspense,John Singleton,Gary Scott Thompson|Derek Haas|Michael Brandt,"Jun 6, 2003","Sep 30, 2003",$,127083765,108 minutes,Universal Pictures Distributio
1202,1542,"It's 1969. The conflict in Viet Nam has exploded to immeasurable proportions, and 18-year-old Dean Hills number is up. Dean's brother Eric, who has already seen his share of combat, plans to take Dean to enlist in his beloved Marine Corps in hopes of keeping an eye on him rather than letting him take his chances at the local induction center. But Dean's plans do not coincide with his older brothers. Instead, he plans to confront Eric about dodging the draft after the boys and their respective girlfriends, Bailey and Chrissie, head across Texas for a final fling of serious fun. Soon after their journey begins, the spirited foursome is spooked by a menacing pair of bikers, Holden and his girlfriend, Alex. When Alex chases the group's jeep, propelling them into a serious accident, Chrissie is thrown from the vehicle. As Alex attempts to rob the injured trio, Sheriff Hoyt arrives on the scene and turns the tables on their would-be assassin. While Chrissie hides in the nearby brush, she watches as the sheriff kills Alex in cold blood and then inexplicably taunts her friends before ordering them into the back of the patrol car. Unbeknownst to Chrissie, Hoyt is headed back to the Hewitt family home where Thomas who is being groomed to become the terrifying monster known as Leatherface and the rest of the Hewitt clan await.",R,Horror|Mystery and Suspense,Jonathan Liebesman,Sheldon Turner,"Oct 6, 2006","Jan 16, 2007",$,39418953,84 minutes,New Line Cinema
1203,1545,"Columnist Steve Lopez is at a dead end. The newspaper business is in an uproar, his marriage to a fellow journalist has fallen apart and he can't entirely remember what he loved about his job in the first place. Then, one day, while walking through Los Angeles' Skid Row, he sees the mysterious bedraggled figure Nathaniel Ayers, pouring his soul into a two-stringed violin. At first, Lopez approaches Ayers as just another story idea in a city of millions. But as he begins to unearth the mystery of how this alternately brilliant and distracted street musician, once a dynamic prodigy headed for fame, wound up living in tunnels and doorways, it sparks an unexpected quest. Imagining he can change Ayers' life, Lopez embarks on a quixotic mission to get him off the streets and back to the world of music. But even as he fights to save Ayers' life, he begins to see that it is Ayers--with his unsinkable passion, his freedom-loving obstinacy and his valiant attempts at connection and love--who is profoundly changing Lopez.",PG-13,Drama|Musical and Performing Arts,Joe Wright,Susannah Grant,"Apr 24, 2009","Aug 4, 2009",$,31670931,117 minutes,Dreamworks/Paramount
1208,1554,"The movie chronicles the adventures of a young girl called Lily, who sets off to visit her lonely Grandpa, but finds herself on a great adventure that leads to a meeting with the world's favorite steam engine, Thomas the Tank Engine, and the magical Mr. Conductor. The trio become involved in a classic good versus evil story that takes place in Mr. Conductor's special universe. At one end is the Island of Sodor, and at the other Shining Time, nestled deep in the Indian Valley. Linking these two worlds is The Magic Railroad. This harmonious world of magic and innocence is put in danger by greed and cynicism. However, Lily and Thomas, with the help of a special dog called Mutt, a young boy named Patch, Mr. Conductor Junior and a host of other colorful characters triumph, bringing the story to its happy end.",G,Kids and Family|Musical and Performing Arts,Britt Allcroft,Britt Allcroft,"Jul 26, 2000","Oct 31, 2000",$,2027042,95 minutes,Destination Films
1212,1561,"The third installment of director Edgar Wright's trilogy of comedies starring Simon Pegg and Nick Frost, following the successes ""Shaun of the Dead"" (2004) and ""Hot Fuzz"" (2007). In ""The World's End,"" 20 years after attempting an epic pub crawl, five childhood friends reunite when one of them becomes hellbent on trying the drinking marathon again. They are convinced to stage an encore by Gary King (Simon Pegg), a 40-year-old man trapped at the cigarette end of his teens, who drags his reluctant pals to their hometown and once again attempts to reach the fabled pub - The World's End. As they attempt to reconcile the past and present, they realize the real struggle is for the future, not just theirs but humankind's. Reaching The World's End is the least of their worries. (c) Focus Features",R,Comedy,Edgar Wright,Edgar Wright|Simon Pegg,"Aug 23, 2013","Nov 19, 2013",$,33408732,109 minutes,Focus Features
1213,1564,"Real-life sweethearts Michael Cera and Charlyne Yi star in a fictionalized version of their romance in this indie semi-documentary comedy, written by Yi. Playing themselves, Yi and Cera embark on a scripted version of their own story. In the movie, Yi has agreed to be the subject of a documentary about her quest to discover if love really exists, since she's never experienced it. As part of her participation in the project, she has a film crew follow her around throughout every new development in her love life -- which gets complicated when she starts dating fellow comedian Cera. This portion of the film is all narrative, and was written into the script, but also as part of the documentary, Yi travels the country interviewing various people about their opinions and experiences with love, and these portions of the film are real -- the interviewees are not actors. Melding truth and fantasy, Paper Heart uses equal parts comedy and realism to resolve the ultimate question of whether love is fact or fiction.",PG-13,Comedy,Nicholas Jasenovec,Nicholas Jasenovec|Charlyne Yi,"Aug 14, 2009","Dec 1, 2009",$,1149350,89 minutes,Overture Films
1215,1567,"Lust is in the air on Harford Road and Sylvia Stickles, a grumpy, repressed middle-aged Baltimorean, doesn't like it. Though Sylvia's handsome husband Vaughn still has marital urges, his wife could not be less interested -- she has more important things to do. Not only does Sylvia run the family's Pinewood Park and Pay convenience store, she's also responsible for watching over her exhibitionist daughter Caprice. A go-go dancer known to her adoring fans as Ursula Udders, Caprice and her stupendously enlarged breasts are currently under house arrest after several ""nude and disorderly"" violations. But Sylvia's world is turned upside down one day after suffering a concussion in a freak traffic accident. Sexy tow-truck driver Ray-Ray Perkins rushes to her aid, and the stricken Sylvia realizes he is no ordinary service man; he's a sexual healer who brings Sylvia's hidden cauldron of lust to the boiling point.",NC17,Comedy,John Waters,John Waters,"Sep 24, 2004","Jun 14, 2005",$,1260219,89 minutes,New Line Cinema
1220,1574,"Featuring an all-star comedy cast including Aubrey Plaza, Johnny Simmons, Bill Hader,Alia Shawkat, Sarah Steele, Rachel Bilson, Christopher Mintz-Plasse, DonaldGlover, Scott Porter, Andy Samberg, Connie Britton and Clark Gregg, ""The To Do List"" is a comedy about close friends and a special summer project, loosely inspired by the real-life adventures of first-time writer/director Maggie Carey. Set in 1993, valedictorian Brandy Klark wants to shed her uptight image before college, so she assembles a to do list of all the ""activities"" she missed out on in high school. Quickly realizing that she's way out of her depth, Brandy solicits her best friends, older sister and burnt-out boss for their help and advice. If the group is going to complete the list by September they'll need plenty of imagination and very open minds. (c) CBS Films",R,Comedy,Maggie Carey,Maggie Carey,"Jul 26, 2013","Nov 19, 2013",$,3400000,104 minutes,CBS Films
1229,1585,"A dating doctor claims that with his services he can match anyone with their soulmate in just three dates. When a jaded tabloid journalist sets out to expose him as a scam artist, the two find themselves falling in love.",PG-13,Comedy|Romance,Andrew Tennant|Andy Tennant,Kevin Bisch,"Feb 11, 2005","Jun 14, 2005",$,177575142,120 minutes,Sony Pictures
1232,1591,"A man who acknowledges a side of himself he's kept hidden for decades must decide between love, loyalty, and faith in this drama from filmmaker Haim Tabakman set in Jerusalem. Aaron (Zohar Strauss) is an orthodox Jew in his mid-thirties who helps run a kosher butcher shop opened by his father. Aaron is married to Rivka (Ravit ""Tinkerbell"" Rozen) and they have four sons, but he often feels something is missing from his life. One day, a 19-year-old yeshiva student, Ezri (Ran Danker), stops by the shop; when Aaron learns Ezri is homeless, he offers to make the youngster his apprentice and gives him a room. Aaron and Ezri strike up a fast friendship, but in time their feelings become deeper, and during a communal bath they act on the desires that have been growing between them. Aaron finds himself torn between his loyalty to his family and his growing love for Ezri, and his dilemma becomes even more pointed when Rabbi Vaisben (Tzahi Grad) asks him to join him in his ""Purity Police"" group, who pay threatening visits to people in the community who are falling short in the eyes of the congregation. Einaym Pkuhot (aka Eyes Wide Open) was an official selection at the 2009 Cannes Film Festival, where it was screened as part of the ""Un Certain Regard"" program.",NR,Art House and International|Drama|Romance,Haim Tabakman,Merav Doster,"Feb 5, 2010","Nov 16, 2010",$,463914,91 minutes,Regent Releasing
1237,1600,"When a failed assassination attempt occurs on the President's (Cotter Smith) life by the teleporting mutant Nightcrawler (Alan Cumming), it's Professor Xavier (Patrick Stewart) and his School for Gifted Youngsters who are targeted for the crime. While Jean Grey (Famke Janssen) and Storm (Halle Berry) try and locate the assassin, Cyclops (James Marsden) and Xavier (also known as 'Professor X') seek answers from their old foe Magneto (Ian McKellan) in his glass cell...Little do they know they're walking into a trap set by the villainous William Stryker (Brian Cox), a mysterious governmental figure that figures into Wolverine's (Hugh Jackman) secretive past, along with information about the X-Men's operation, supplied by Magneto through a mind-controlling agent. Meanwhile Wolverine, just home from a failed mission to regain his memory, is in charge of the students when a crack-commando team led by Stryker infiltrates the school by order of the President. With a mansion full of young, powerful mutants and the ferocious Wolverine in babysitter mode, can he defend the school against the one man who can answer his questions? What roles do the sinister Mystique (Rebecca Romijn-Stamos) and Lady Deathstrike (Kelly Hu) have in all of this? Why does Stryker want Professor X and his Cerebro machine? With the war between humanity and mutants escalating to extremes, can the rest of the X-Men trust their old foes to help them? Director Bryan Singer returns and raises the stakes in this sequel to the highly lauded 2000 adaptation of Marvel Comics' X-Men.",PG-13,Action and Adventure|Science Fiction and Fantasy,Bryan Singer,Daniel Harris|Dan Harris|Michael Dougherty|Bryan Singer|David Hayter,"May 2, 2003","Nov 25, 2003",$,214813155,134 minutes,20th Century Fox
1238,1601,"Rango is a sheltered chameleon living as an ordinary family pet, while facing a major identity crisis. After all, how high can you aim when your whole purpose in life is to blend in? When Rango accidentally winds up in the gritty, gun-slinging town of Dirt - a lawless outpost populated by the desert's most wily and whimsical creatures - the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt... -- (C) Paramount",PG,Action and Adventure|Animation|Kids and Family,Gore Verbinski,John Logan,"Mar 4, 2011","Jul 15, 2011",$,123188232,107 minutes,Paramount Pictures
1239,1602,"In a contemporary adaptation of Langston Hughes' celebrated play, the holiday musical drama BLACK NATIVITY follows Langston (Jacob Latimore), a street-wise teen from Baltimore raised by a single mother, as he journeys to New York City to spend the Christmas holiday with his estranged relatives Reverend Cornell and Aretha Cobbs (Forest Whitaker and Angela Bassett). Unwilling to live by the imposing Reverend Cobbs' rules, a frustrated Langston is determined to return home to his mother, Naima (Jennifer Hudson). Langston embarks on a surprising and inspirational journey and along with new friends, and a little divine intervention, he discovers the true meaning of faith, healing, and family. (c) Fox Searchlight",PG,Drama|Musical and Performing Arts|Faith and Spirituality,Kasi Lemmons,Kasi Lemmons,"Nov 27, 2013","Apr 15, 2014",$,4894004,92 minutes,Fox Searchlight
1243,1606,"An unsolved murder at Portland's infamous Paranoid Park brings detectives to a local high school, propelling a young skater into a moral odyssey where he must not only deal with the pain and disconnect of adolescence but the consequences of his own actions.",R,Art House and International|Drama,Gus Van Sant,Gus Van Sant,"May 21, 2007","Oct 7, 2008",$,241672,84 minutes,IFC First Take
1254,1618,"Chinese director Zhang Yimou fuses a martial arts action-drama with a tragic romance in this elegant period piece. In the year 859 A.D., as the Tang dynasty is beset by rebellion, Leo (Andy Lau) and Jin (Takeshi Kaneshiro) are a pair of lawmen who have been given the task of ferreting out the leaders of a revolutionary faction known as the Flying Daggers. Working on a tip that members of the group are working out of a brothel called the Peony Pavilion, Jin arrives there in disguise and is introduced to a beautiful blind dancer named Mei (Zhang Ziyi). After watching Mei's performance following several drinks, Jin drunkenly attempts to have his way with her, and Leo is forced to intervene. After gaining Mei's trust in a game of skill, Leo arrests her and informs her that she'll be tortured if she doesn't tell all she knows about the Flying Daggers. Jin responds by helping Mei break out of prison, but he has an ulterior motive -- by following her, Leo and Jin are certain she'll lead them to the Flying Daggers. However, as he helps the blind girl find her way back home, Jin finds himself falling in love with Mei, and isn't certain if he's willing to betray her again.",PG-13,Action and Adventure|Art House and International|Drama,Yimou Zhang,Feng Li|Bin Wang|Yimou Zhang,"Dec 3, 2004","Mar 29, 2005",$,10928042,119 minutes,Sony Pictures Classics
1269,1639,"In this darkly erotic drama from cult filmmaker Jeanne Labrune, Isabelle Huppert stars as a high-class prostitute named Alice who serves up sexual fantasies for her clientele, from schoolgirl innocence to S&amp;M.; Fed up with the seamy underbelly of French masculinity, Alice crosses paths with Xavier, a neurotic psychoanalyst facing a marriage crisis. The two quickly realize their professions share a thing or two in common as they navigate the overlapping worlds of psychotherapy and sex therapy. -- (C) First Run Features",NR,Art House and International|Drama,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,"Aug 26, 2011","Jan 17, 2012",$,8856,95 minutes,First Run Features
1275,1645,"Texas brothers--Toby (Chris Pine), and Tanner (Ben Foster), come together after years divided to rob branches of the bank threatening to foreclose on their family land. For them, the hold-ups are just part of a last-ditch scheme to take back a future that seemed to have been stolen from under them. Justice seems to be theirs, until they find themselves on the radar of Texas Ranger, Marcus (Jeff Bridges) looking for one last grand pursuit on the eve of his retirement, and his half-Comanche partner, Alberto (Gil Birmingham). As the brothers plot a final bank heist to complete their scheme, and with the Rangers on their heels, a showdown looms at the crossroads where the values of the Old and New West murderously collide.",R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,"Aug 12, 2016","Nov 22, 2016",$,26973524,102 minutes,Film 44
1276,1646,"Director Alexander Payne (Sideways, The Descendants) takes the helm for this black and white road trip drama starring Bruce Dern as a tempestuous Missouri father who's convinced he's won a million dollar magazine sweepstakes, and Will Forte as the son who grudgingly agrees to drive him to Nebraska to claim his winnings. Bob Odenkirk and Stacy Keach costar.",R,Drama,Alexander Payne,Bob Nelson,"Nov 15, 2013","Feb 25, 2014",$,11348612,115 minutes,Paramount Pictures
1289,1665,"The indestructible hopped-up hitman Chev Chelios, played to the hilt once again by Jason Statham, returns in Crank High Voltage, picking up where the first film left off -- except this time, Chelios is chasing a Chinese gangster who hijacked his heart and substituted it with a mechanical one that needs to be jolted with an electric charge to stay pumping. Back for the fun is Chev's girlfriend Eve (",R,Action and Adventure|Comedy,Mark Neveldine|Brian Taylor,Brian Taylor|Mark Neveldine,"Apr 17, 2009","Sep 8, 2009",$,13630226,85 minutes,Lionsgate
1297,1677,"In this family-friendly comedy drama, Walter (Haley Joel Osment) is a shy and bookish boy just short of his teens whose mother impulsively decides to leave him for the summer with his eccentric grand-uncles, Hub (Robert Duvall) and Garth (Michael Caine). Walter isn't especially happy about being left in the middle of Texas with two old men, while Hub and Garth aren't too pleased to be stuck minding a boy, especially one who isn't accustomed to hunting, fishing, or firearms. When Walter starts hearing local gossip about his uncles' wild and wooly pasts, he begins asking a few questions, and while Hub and Garth don't enjoy having the boy poking into their pasts, as they start telling tales of their youthful adventures, they find themselves itching for some new adventures in their lives. Soon Walter is a semi-willing accomplice as his elderly guardians rediscover the wild, impulsive spirit of youth. Secondhand Lions was produced in part by the well-respected visual effects house Digital Domain, who also helped create the imagery for the film's flashback sequences.",PG,Comedy|Drama|Kids and Family,Tim McCanlies,Tim McCanlies,"Sep 19, 2003","Feb 3, 2004",$,41407470,107 minutes,New Line Cinema
1300,1680,"James White (Christopher Abbott) is a troubled twenty-something trying to stay afloat in a frenzied New York City. He retreats further into a self-destructive, hedonistic lifestyle, but as his mother (Cynthia Nixon) battles a serious illness James is forced to take control of his life. As the pressure on him mounts, James must find new reserves of strength or risk imploding completely. The directorial debut of MARTHA MARCY MAY MARLENE producer Josh Mond, JAMES WHITE, which had its world premiere at Sundance Film Festival 2014 where it was the winner of the ""Best of Next"" Audience Award, is a confident and closely observed debut that explores loss and the deep relationship between a mother and son. Abbott's strong central performance is aided by a stellar supporting cast featuring Cynthia Nixon (""Sex and the City""), Scott ""Kid Cudi"" Mescudi (""Comedy Bang",R,Drama,Josh Mond,Josh Mond,"Nov 13, 2015","Mar 22, 2016",$,101368,85 minutes,The Film Arcade
1304,1685,"Frankie is a Los Angeles drug dealer. He comes from a good family, owns his home, several cars and enjoys partying with his friends. Frankie is 19. When his friend Jake welches on a debt, Frankie and his boys kidnap Jake's 15-year-old brother Butch and hold him as a marker. Even though Butch has numerous chances to escape, he doesn't. He's enjoying partying with them, losing his virginity and having a good time -- until something goes horribly wrong.",R,Drama|Mystery and Suspense,Nick Cassavetes,Nick Cassavetes,"Jan 12, 2007","May 1, 2007",$,15133185,118 minutes,Universal Studios
1307,1690,"Fifteen-year-old Jim Hawkins stumbles upon a map to the greatest pirate trove in the universe. The tale follows Jim's fantastic journey across a parallel universe as cabin boy aboard a glittering space galleon. Befriended by the ship's charismatic cyborg (part man, part machine) cook John Silver, Jim blossoms under his guidance, and shows the makings of a fine spacer as he and the alien crew battle supernovas, black holes and ferocious space storms. But even greater dangers lie ahead when Jim discovers that his trusted friend Sliver is actually a scheming pirate with mutiny in mind. Confronted with a betrayal that cuts deep into his soul, Jim is transformed from boy to man as he finds the strength to face down the mutineers and discovers a ""treasure"" greater than he had ever imagined.",PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,Ron Clements|John Musker,Sam Levine|Alex Mann|Ron Clements|John Musker|Rob Edwards,"Nov 27, 2002","Apr 29, 2003",$,38120554,95 minutes,Buena Vista Distribution Compa
1310,1693,"A talented but troubled high-school rugby star gets a second shot at redemption after being sentenced to serve time in a Salt Lake City boys' home and landing a coveted spot on the famed Highland High School rugby team in this inspirational sports drama from director Ryan Little (Saints and Soldiers, Everything You Want). Rick Penning (Sean Faris ) was the star player on his Arizona rugby team until his life took a turn for the worse. Now, after a fateful brush with the law, Rick finds himself out of the spotlight and forced to ponder the consequences of his actions in a Salt Lake City juvenile detention center. As fate would have it, however, Salt Lake's famed Highland High rugby team could use a player like Rick. With a little help from coach Larry Gelwix (Gary Cole), Rick may even be able to lead the Highland High team to the national championships. When Rick discovers that the team they'll be competing against is none other than his old team from Arizona, which is coached by his father, Richard Penning (Neal McDonough), the deciding game takes on a newfound sense of gravity in the eyes of the ambitious young athlete. Arielle Kebbel and Sean Astin co-star.",PG-13,Drama,Ryan Little,David Pliler,"Sep 26, 2008","Jun 9, 2009",$,549351,109 minutes,Crane Movie Company
1311,1695,"The second chapter in the ""Bourne Trilogy,"" based on Robert Ludlum's best-selling espionage novels, reaches the screen in this sequel to the 2002 thriller The Bourne Identity. Jason Bourne (Matt Damon) has abandoned his life as a CIA assassin and has been traveling beneath the agency's radar, eventually reconnecting with Marie Kreutz (Franka Potente), the woman he loves. But Bourne is haunted by vivid dreams and troubling memories of his days as a killer, and he's not certain how much really happened and how much is a product of his imagination. When Bourne is led out of hiding by circumstances beyond his control, he must reconcile his past and present as he struggles to keep Marie out of harm's way and foil an international incident with dangerous consequences. The Bourne Supremacy also features Joan Allen as one of Bourne's superiors, while Julia Stiles and Brian Cox reprise their roles as intelligence agents from the first film.",PG-13,Action and Adventure|Drama|Mystery and Suspense,Paul Greengrass,Tony Gilroy,"Jul 23, 2004","Dec 7, 2004",$,176049130,108 minutes,Universal Pictures
1321,1707,"""Into the Blue"" is a high-stakes thriller set in the deep, shark-infested waters of the Bahamas. When young divers discover the wreckage of a cargo plane at the bottom of the sea, they believe their dream of buried treasure has come true. What they don't realize is that millions of dollars of illegal goods are in that sunken plane and a group of dangerous criminals are already desperately searching for it. As tensions mount and the friends begin to fight about what to do with their find, others get closer to discovering their secret -- and the treasure hunters quickly become the hunted.",PG-13,Action and Adventure|Mystery and Suspense,John Stockwell,Matt Johnson,"Sep 30, 2005","Dec 26, 2005",$,18472363,110 minutes,Sony Pictures
1328,1718,"Adonis Johnson Creed (Michael B. Jordan), the son of former heavyweight champion Apollo Creed, attempts to follow in his father's footsteps and become a boxing legend in his own right. Apollo died in the ring in the 1980s at the hand of Russian pugilist Ivan Drago, forcing Adonis to grow up without his dad in his life. The young man travels to Philadelphia to find his late father's nemesis-turned-best friend, Rocky Balboa (Sylvester Stallone), in order to recruit him as a trainer. Balboa soon takes the young Creed under his wing and helps him get in shape for a shot at the title. Ryan Coogler directs this spin-off of the hugely successful Rocky franchise.",PG-13,Drama,Ryan Coogler,Ryan Coogler|Aaron Covington,"Nov 25, 2015","Mar 1, 2016",$,81157671,132 minutes,Warner Bros.
1330,1721,"THE EDGE OF SEVENTEEN is a new coming-of-age movie in the vein of Sixteen Candles and The Breakfast Club - an honest, candid, often hilarious look at what it's like to grow up as a young woman in today's modern world. Everyone knows that growing up is hard, and life is no easier for high school junior Nadine (Hailee Steinfeld), who is already at peak awkwardness when her all-star older brother Darian (Blake Jenner) starts dating her best friend Krista (Haley Lu Richardson). All at once, Nadine feels more alone than ever, until the unexpected friendship of a thoughtful boy (Hayden Szeto) gives her a glimmer of hope that things just might not be so terrible after all. The film also stars Kyra Sedgwick as Nadine's well-meaning but completely ineffective mother, and Woody Harrelson as Nadine's History teacher, mentor and reluctant sounding board. The Edge of Seventeen is produced by Academy Award winner James L. Brooks - the filmmaker behind big-screen, character-driven classics such as Terms of Endearment, Broadcast News, Big, Say Anything, The Simpsons, Jerry Maguire and As Good as It Gets.",R,Comedy|Drama,Kelly Fremon Craig,Kelly Fremon Craig,"Nov 18, 2016","Feb 14, 2017",$,14260193,98 minutes,STX Entertainment
1331,1722,"Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law. Dwayne Johnson joins returning favorites Jordana Brewster, Tyrese Gibson, Chris ""Ludacris"" Bridges, Matt Schulze, Sung Kang, Gal Gadot, Tego Calderon and Don Omar for this ultimate high-stakes race. Since Brian and Mia Toretto (Brewster) broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. As they assemble their elite team of top racers, the unlikely allies know their only shot of getting out for good means confronting the corrupt businessman who wants them dead. But he's not the only one on their tail. Hard-nosed federal agent Luke Hobbs (Dwayne Johnson) never misses his target. -- (C) Universal",PG-13,Action and Adventure|Drama|Mystery and Suspense,Justin Lin,Chris Morgan,"Apr 29, 2011","Oct 4, 2011",$,209805005,131 minutes,Universal Pictures
1353,1747,"College freshman Adam Buckley sits blindfolded in the back of a van outside of a convenience store as the final step of his initiation into the Sigma Zeta Chi fraternity. Minutes later he finds himself dealing with the fact that a fellow-pledge just got shot while doing it. Frank, the senior fraternity brother in charge of the night's events, is able to get the injured pledge out of the store alive, but the fraternity's troubles are just beginning. Thinking they can get out of the situation without taking the pledge to a hospital, Frank decides the group will handle things themselves. But when every move is met with disaster, Adam must find it within himself to go against Frank and his new brothers in order to save his friend's life. -- (C) Phase 4",R,Drama|Mystery and Suspense,Will Canon,Will Canon|Douglas Simon,"Feb 18, 2011","May 17, 2011",$,16632,81 minutes,Phase 4 Films
1361,1757,"In the next exciting chapter of the international phenomenon STEP UP, all-stars from previous installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers. (c) Lionsgate",PG-13,Drama|Musical and Performing Arts|Romance,Trish Sie,John Swetnam,"Aug 8, 2014","Nov 4, 2014",$,13617501,112 minutes,Lionsgate
1376,1775,"In the mid-to-late 1960s, in Washington, D.C., vibrant soul music and exploding social consciousness were combining to unique and powerful effect. It was the place and time for Ralph Waldo ""Petey"" Greene Jr. to fully express himself--sometimes to outrageous effect--and ""tell it like it is."" With the support of his irrepressible and tempestuous girlfriend Vernell, the newly minted ex-con talks his way into an on-air radio gig at WOL-AM, where fellow prison inmate Milo's brother Dewey Hughes is the program director. At the station, Petey becomes an iconic radio personality, surpassing even the established popularity of his fellow disc jockeys, Nighthawk and Sunny Jim. Combining biting humor with social commentary, Petey openly courts controversy for station owner E.G. Sonderling. Petey was determined to make not just himself but his community heard during an exciting and turbulent period in American history. As Petey's voice, humor, and spirit surge across the airwaves with the vitality of the era, listeners tune in to hear not only incredible music but also a man speaking directly to them about race and power in America like few people ever have. Through the years, Petey's ""The truth just is"" style--on and off the air--would redefine both Petey and Dewey, and empower each to become the man he would most like to be.",R,Action and Adventure|Comedy|Drama,Kasi Lemmons,Michael Genet|Rick Famuyiwa,"Jul 27, 2007","Oct 30, 2007",$,4436352,118 minutes,Focus Features
1378,1777,"When a Vietnam veteran discovers two million dollars while wandering through the aftermath of a Texas drug deal gone horribly awry, his decision to abscond with the cash sets off a violent chain reaction in a stripped-down crime drama from Joel and Ethan Coen. Llewelyn Moss (Josh Brolin) has just stumbled into the find of a lifetime. Upon discovering a bullet-strewn pickup truck surrounded by the corpses of dead bodyguards, Moss uncovers two million dollars in cash and a substantial load of heroin stashed in the back of the vehicle. Later, as an enigmatic killer who determines the fate of his victims with the flip of a coin sets out in pursuit of Moss, the disillusioned Sheriff Bell (Tommy Lee Jones) struggles to contain the rapidly escalating violence that seems to be consuming his once-peaceful Lone Star State town. Woody Harrelson, Javier Bardem, and Kelly MacDonald co-star in a distinctly American crime story that explores timeless biblical themes in a contemporary Southwestern setting.",R,Action and Adventure|Drama|Mystery and Suspense,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,"Nov 21, 2007","Apr 7, 2009",$,74223625,122 minutes,Miramax Films
1386,1788,"London 1818: a secret love affair begins between 23 year old English poet, John Keats, and the girl next door, Fanny Brawne, an outspoken student of fashion. This unlikely pair started at odds; he thinking her a stylish minx, she unimpressed by literature in general. It was the illness of Keats's younger brother that drew them together. Keats was touched by Fanny's efforts to help and agreed to teach her poetry. By the time Fanny's alarmed mother and Keats's best friend Brown realized their attachment, the relationship had an unstoppable momentum. Intensely and helplessly absorbed in each other, the young lovers were swept into powerful new sensations, ""I have the feeling as if I were dissolving"", Keats wrote to her. Together they rode a wave of romantic obsession that deepened as their troubles mounted. Only Keats's illness proved insurmountable.",PG,Drama|Romance,Jane Campion,Jane Campion,"May 15, 2009","Jan 26, 2010",$,4341275,119 minutes,Apparition Films
